公司名稱,產業類別,聯絡人,產業描述,電話,資本額,傳真,員工人數,地址,公司網址,官方,地址相同,資本額誤差
巴撒羅企業股份有限公司,其他商品批發業,暫不提供,工業及車用潤滑油專業供應商,暫不提供,600萬元,暫不提供,20人,暫不提供,http://www.oilbasaro.com,,,
沈聖瀚律師事務所,法律服務業,呂小姐,法律服務業,06-6328668,暫不提供,暫不提供,暫不提供,臺南市新營區信義街13-1號,,,,
台灣上美環保科技有限公司,環境衛生及污染防治服務業,唐先生,環境衛生及污染防治服務業,06-5952501,500萬元,06-5951142,暫不提供,臺南市關廟區五甲村光復街63巷5號1樓,http://www.ttf298.com/,,,
申金科技股份有限公司,自動控制相關業,曾先生,自動化設備與控制相關業,暫不提供,1000萬元,暫不提供,15人,臺南市安南區開安四街11號,http://www.shenjin.com.tw,,,
吉鎂環衛科技有限公司,環境衛生及污染防治服務業,陳小姐,環境衛生及污染防治服務業,06-2642833,200萬元,暫不提供,暫不提供,臺南市南區新都路225號,https://jimaet0417.com.tw/,,,
福利汽車台南總店_聖興汽車商行,其他汽機車相關業,暫不提供,其他汽機車相關業,暫不提供,20萬元,暫不提供,暫不提供,暫不提供,http://www.flcar.com.tw/,,,
惟心創意室內裝修有限公司,建物裝修及裝潢業,陳先生,建物裝修及裝潢業,暫不提供,暫不提供,06-2361911,5人,臺南市永康區六合里中華二路318巷3號,,,,
三星科技股份有限公司,金屬鍛造及粉末冶金業,張,機械相關業,暫不提供,29億,暫不提供,1450人,臺南市歸仁區中山路三段355號,http://www.sanshing.com.tw,,,
穎居企業有限公司,建物裝修及裝潢業,劉先生,建物裝修及裝潢業,暫不提供,50萬元,暫不提供,5人,臺南市善化區龍目井路417號,https://www.facebook.com/YingJiu.Curtain,,,
偉基營造有限公司,建築工程業,蘇先生,營建工程,06-2502335,8600萬元,暫不提供,19人,臺南市北區和緯路四段195號,,,,
野雁牧場,畜牧業,吳志仁先生,畜牧業,0931-793,暫不提供,暫不提供,暫不提供,臺南市六甲區菁埔里林鳳營578號,,,,
健華聯合會計師事務所,會計服務業,暫不提供,會計師事務所,暫不提供,暫不提供,暫不提供,29人,暫不提供,,,,
臨安眼科診所,診所,暫不提供,診所,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
禪宇股份有限公司,其他零售業,黃小姐,工程五金業,暫不提供,1300萬元,暫不提供,18人,臺南市新化區中興路818號,,,,
冠泉流通有限公司,食品什貨批發業,暫不提供,食品什貨批發業,暫不提供,暫不提供,暫不提供,12人,暫不提供,,,,
喬威建築師事務所,建築設計業,暫不提供,建築設計業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
三拾數位空間有限公司,室內設計業,暫不提供,室內設計業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
鐵金鋼金屬工業有限公司,其他金屬相關製造業,王小姐,金屬製造業,06-3309000,2500萬元,06-3308481,30人,臺南市歸仁區民生六街37號,http://www.tckw.com.tw,,,
蘋果樹文教機構_蘋果樹文教有限公司,補習班,陳先生,0-12歲嬰幼兒童教育事業,06-2635123,260萬元,暫不提供,70人,臺南市南區金華路一段486之2號,https://greatappletree.com,,,
極頂車體美學俱樂部,汽車美容業,暫不提供,專業汽車包膜、貼膜、汽車美容等,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
再一科技股份有限公司,電子通訊/電腦週邊批發業,張經理,國際貿易業/食品批發買賣,暫不提供,2800萬元,暫不提供,12人,臺南市東區大同路二段615號6樓之2,https://www.anewlife.com.tw/,,,
國祥輪胎有限公司,其他汽機車相關業,黃先生,其他汽機車相關業,暫不提供,100萬元,暫不提供,5人,臺南市仁德區文華路3段428巷41號,,,,
謦鴻科技股份有限公司,網際網路相關業,莊小姐,網際網路、通訊系統相關業,暫不提供,3000萬元,暫不提供,20人,臺南市仁德區太子路667號,http://www.webenv.net,,,
泊樂行旅_泊樂旅館管理顧問有限公司,旅館業,黃先生,旅館業,06-2236818,30萬元,暫不提供,9人,臺南市中西區中正路90號,,,,
國立成功大學_工業衛生學科,大專校院教育事業,暫不提供,大專校院教育事業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
和晟汽車_大發汽車保養場,汽車及其零件製造業,蔡小姐,汽車及其零件製造業,06-7235380,暫不提供,06-7222596,暫不提供,臺南市佳里區同安寮1之32號,https://www.facebook.com/HeChengQiCheYouXianGongSi,,,
吉屋建設有限公司,不動產經營業,暫不提供,不動產經營／開發,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
翔陽有限公司,橡膠製品製造業,暫不提供,橡膠海綿貼合,暫不提供,2000萬元,暫不提供,30人,暫不提供,,,,
鼎捷人力資源管理顧問有限公司,人力派遣服務,葉先生,人力資源管理顧問派遣服務,06-5896030,暫不提供,暫不提供,暫不提供,臺南市新市區三舍里三舍166之12號,,,,
宏興聯合會計師事務所_台南所,會計服務業,暫不提供,會計師事務所,暫不提供,暫不提供,暫不提供,15人,暫不提供,,,,
尖叫精緻炭火燒肉台南旗艦店_翔元小吃店,餐館業,葉先生,餐廳╱餐館,暫不提供,暫不提供,暫不提供,暫不提供,臺南市東區中華東路1段209號,,,,
泓如企業有限公司,藥品／化妝品及清潔用品批發業,暫不提供,藥品／化妝品及清潔用品批發業,暫不提供,1000萬元,暫不提供,暫不提供,暫不提供,https://www.missmandytw.com/,,,
台灣樂夫特家居有限公司,室內設計業,高先生,室內設計業,06-2679575,100萬元,暫不提供,10人,臺南市東區東門路三段312號1樓,https://www.lofter.com.tw,,,
早點見面美食屋,其他餐飲業,陳小姐,其他餐飲業,06-2216352,50萬元,暫不提供,暫不提供,臺南市中西區成功路241號,,,,
突破工作室,運動服務業,王先生,運動服務業,暫不提供,暫不提供,暫不提供,暫不提供,臺南市南區萬年五街248巷3號,,,,
新農林檜木精品有限公司,飲料店業,林小姐,檜木精品/咖啡輕食,06-5702303,暫不提供,暫不提供,暫不提供,臺南市麻豆區麻口里10之13號,,,,
宇辰種苗股份有限公司,農藝及園藝業,暫不提供,種苗業，育種研發種子生產，種子批發。,暫不提供,1000萬元,暫不提供,16人,暫不提供,,,,
頂好國際開發有限公司,服飾品製造業,暫不提供,鞋類╱布類╱服飾品零售業,暫不提供,300萬元,暫不提供,5人,暫不提供,http://www.facebook.com/uno.clothing5168,,,
新光人壽保險股份有限公司_仁德通訊處(王姍喬),人身保險業,王姍喬區經理,人身保險業,06-7030688,666億2500萬元,06-2709312,10592人,臺南市仁德區德南路24號2樓,http://www.skl.com.tw,,,
舊識紅豆餅,餐館業,陳先生,餐館業,06-3501777,暫不提供,06-3501567,暫不提供,臺南市安南區國安街156巷185弄1號,http://www.94redbean.com,,,
大統營實業股份有限公司,家用電器製造業,人資,製造業,暫不提供,1億9900萬元,暫不提供,90人,臺南市南區安平工業區新樂路72之1號(702),http://www.pinoh.com.tw,,,
兆聯技術服務有限公司,工商顧問服務業,鄭小姐,工商顧問服務業,暫不提供,300萬元,暫不提供,180人,臺南市新市區看西路36號,http://www.megaunion-tw.com,,,
國立成功大學_製造資訊與系統研究所,大專校院教育事業,暫不提供,學校及文教機構,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
華苓有限公司,綜合商品批發代理業,郭先生,國際貿易,06-2595978,200萬元,06-2502006,暫不提供,臺南市安南區宜居一街70號,,,,
立興鞋業有限公司,鞋類製造業,陳小姐,鞋類製造業,06-2530082,暫不提供,06-2536029,80人,臺南市永康區鹽和街226號,http://,,,
鉮倫科技有限公司,其他半導體相關業,李先生,半導體自動化製程相關業,暫不提供,1130萬元,暫不提供,暫不提供,臺南市永康區中華路12號12樓之5,https://www.aslent.com,,,
城邦營造有限公司,建築工程業,朱小姐,綜合營造業,06-3568599,2783萬元,06-3568052,25人,臺南市安南區慶安路170號,,,,
福樺實業有限公司,機械器具零售業,林幸慧小姐,進口貿易商,06-2796696,500萬元,06-2493366,8人,臺南市仁德區文華路3段428巷122號,http://www.fluidpowerco.com.tw,,,
台灣鋼鐵股份有限公司,創投業,胡小姐,創投業,暫不提供,暫不提供,暫不提供,暫不提供,臺南市中西區民生路二段307號17樓之一,,,,
宗騰科技有限公司,自動控制相關業,吳小姐,自動化設備機構組裝及電控，開發設計客製化機械設備等等，科技廠建廠相關，水，氣，電設備施作,06-2450028,1000萬元,06-2450428,50人,臺南市安南區安中路一段29巷52號,https://www.zongtang-auto.com.tw/,,,
盈強工程有限公司,管線／管道工程相關業,陳先生,管路工程、自動化工程、系統設計工程、半導體設備工程,暫不提供,暫不提供,暫不提供,50人,臺南市仁德區德崙路259號7樓之2,,,,
麵聚場_鼎淇實業有限公司,餐館業,黃小姐,餐廳／餐館,暫不提供,暫不提供,暫不提供,暫不提供,臺南市南區興中街116巷7號,,,,
ATTO汽美中心_日拓商行,汽車美容業,暫不提供,車美生活複合式概念商店,暫不提供,150萬元,暫不提供,9人,暫不提供,,,,
聚盛建設有限公司,土木工程業,暫不提供,土木工程業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
潮味決台南海佃分社_晴天樹生活實業社,餐館業,蘇先生,餐館業,暫不提供,20萬元,暫不提供,暫不提供,臺南市安南區海佃路一段133號,https://www.ciaowin.com/,,,
拓帆有限公司,機械器具批發業,黃小姐,機械器具批發業,06-3132226,600萬元,06-3132229,暫不提供,臺南市永康區中華里小東路689之47號10樓A6,https://www.topvanes.com,,,
勤敏模具雕刻股份有限公司,金屬加工用機械製造修配業,暫不提供,金屬加工用機械製造修配業,暫不提供,3000萬元,暫不提供,暫不提供,暫不提供,,,,
元成實業股份有限公司,紙相關製造業,暫不提供,紙相關製造業,暫不提供,暫不提供,暫不提供,15人,暫不提供,,,,
冠毅國際有限公司,玻璃及玻璃製品製造業,暫不提供,玻璃及玻璃製品製造業,暫不提供,500萬元,暫不提供,8人,暫不提供,,,,
早安美芝城_享味商行,餐館業,楊小姐,餐館業,暫不提供,暫不提供,暫不提供,暫不提供,臺南市南區府南里金華路1段486之6號1樓,,,,
樂菩牙醫診所,診所,吳小姐,診所,暫不提供,暫不提供,暫不提供,13人,臺南市東區長榮路三段20號,,,,
三益制動科技股份有限公司,汽車及其零件製造業,陳先生,應用基礎科技研、研發製造行銷ODM、品牌行銷,暫不提供,4億3000萬元,暫不提供,250人,臺南市官田區官田工業區二鎮里建業路41號,http://www.sanyco.com,,,
台灣基督長老教會新樓醫院_台灣基督長老教會新樓醫療財團法人台南新樓醫院,醫院,施小姐,醫院療養看護業,暫不提供,暫不提供,暫不提供,1500人,臺南市東區東門路一段57號(人力資源室),http://www.sinlau.org.tw,,,
天心元有限公司,餐館業,陳小姐,餐館業,06-2923161,1000萬元,06-2920024,50人,臺南市南區中華西路一段312號,http://www.tsyvegan.com.tw/,,,
非石實業股份有限公司,其他金屬相關製造業,羅小姐,IP66、IP68電氣控制箱、精密鈑金製品等。,暫不提供,6000萬元,暫不提供,50人,臺南市山上區山上工業區明和里北勢洲90-1號,http://www.nonstone.com.tw/,,,
集品蝦仁飯_吉成蝦仁飯小吃店,餐館業,陳先生,餐館業,06-2263929,暫不提供,06-2287399,暫不提供,臺南市中西區海安路一段107號,,,,
裕鑫國際資產有限公司,其他金融及輔助業,暫不提供,金融機構及其相關業,暫不提供,100萬元,暫不提供,60人,暫不提供,,,,
貫有企業有限公司,其他電子零組件相關業,暫不提供,電子相關製造業,暫不提供,500萬元,暫不提供,20人,暫不提供,,,,
萌祥企業有限公司,綜合商品批發代理業,暫不提供,批發零售業/貨運業,暫不提供,暫不提供,暫不提供,30人,暫不提供,,,,
亮麗專業洗衣有限公司,洗衣服務業,暫不提供,洗衣服務業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
Wish_希望原創飾品實業社,首飾及貴金屬零售業,蔡小姐,首飾及貴金屬零售業,06-2212789,100萬元,暫不提供,2人,臺南市中西區公正里中山路148號1樓,https://www.facebook.com/search/top?q=wish%E5%8E%9F%E5%89%B5%E9%A3%BE%E5%93%81,,,
霜花亭Brunch公園店_霜花喫茶亭,餐館業,暫不提供,餐館業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,https://www.facebook.com/霜花亭Brunch-公園店-1992829777637356/,,,
常祐科技有限公司,自動控制相關業,吳小姐,電腦及其週邊設備製造業,暫不提供,暫不提供,暫不提供,暫不提供,臺南市安定區南部科學園區北園二路8號,,,,
心靈清潔坊,家事服務業,王瑞銘先生,家事服務業,06-2802285,暫不提供,06-2802285,20人,臺南市中西區民權路三段400巷1號10樓,,,,
永發食品廠,罐頭食品加工業,暫不提供,罐頭食品加工業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
大山鐵板燒_有豐鐵板燒,餐館業,暫不提供,餐館業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
世洲機械廠股份有限公司,通用機械設備製造修配業,姜先生,機械製造業,06-6986666,2000萬元,06-6989668,40人,臺南市六甲區菁埔里5號,http://www.continent-machine.com,,,
統義實業有限公司,文具禮品相關業,暫不提供,文具用品、印刷紙製品,暫不提供,500萬元,暫不提供,20人,暫不提供,http://www.tone-yee.com.tw/,,,
嘉誠化學股份有限公司,化學原料及其製品批發業,張先生,化妝品原料貿易商,06-5895000,750萬元,06-5895055,21人,臺南市新市區光華街5之100號,http://www.honorchem.com/,,,
易昇鋼鐵股份有限公司,鋼鐵基本工業,李小姐,鋼鐵冶鍊業,暫不提供,15億,暫不提供,470人,臺南市永康區正南一街200號,http://www.essteel.com.tw/,,,
鴻瀚工程有限公司,自動控制相關業,陳小姐,氣體管路配置工程,06-2460272,1000萬元,06-2465085,暫不提供,臺南市安南區工明南二路187號,https://www.honghan-hh.com.tw/,,,
旭成深孔有限公司,其他金屬相關製造業,暫不提供,其他金屬相關製造業,暫不提供,暫不提供,暫不提供,9人,暫不提供,,,,
鴻滕科技國際企業社,自動控制相關業,人事部,自動控制相關業,06-5830705,暫不提供,06-5850723,暫不提供,臺南市善化區興華路223巷9號,,,,
華億成型企業有限公司,塑膠製品製造業,楊小姐,塑膠製品製造業,06-2530307,100萬元,06-2540981,24人,臺南市永康區鹽行里中正三街23號,,,,
常勝國際企業有限公司,塑膠製品製造業,暫不提供,塑膠射出,暫不提供,1000萬元,暫不提供,暫不提供,暫不提供,,,,
湖美禾順牙醫診所,診所,暫不提供,診所,暫不提供,暫不提供,暫不提供,5人,暫不提供,,,,
歐麗企業社,其他商品批發業,吳先生,倉儲，蝦皮,09-89814699,500萬元,暫不提供,30人,臺南市仁德區二仁路一段152號,,,,
鉅騰工程行,管線／管道工程相關業,吳小姐,純、廢水配管工程相關業,06-2815277,暫不提供,暫不提供,暫不提供,臺南市北區西門路四段171巷20弄19之11號,,,,
潔薪科技有限公司,管線／管道工程相關業,王小姐,管線╱管道工程相關,06-7238515,暫不提供,暫不提供,暫不提供,臺南市佳里區鎮山里勝利路133巷2號1樓,,,,
御群法律事務所,法律服務業,暫不提供,法律服務業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,https://www.owlaw.com.tw/,,,
恒大企業社,家庭電器╱設備及用品批發業,吳小姐,辦公設備及電腦週邊銷售維修服務業,暫不提供,暫不提供,暫不提供,暫不提供,臺南市安南區安和路1段159巷85弄17號2樓,,,,
社團法人臺南市心智障礙關顧協會,社會福利服務業,暫不提供,非營利組織,暫不提供,暫不提供,暫不提供,20人,暫不提供,http://zhanyi.flyangel.org.tw/,,,
大韓金鍋餐館,餐館業,林先生,餐館業,暫不提供,暫不提供,暫不提供,暫不提供,臺南市歸仁區新厝里大仁街30號,,,,
乙太機械股份有限公司,電力機械器材製造修配業,暫不提供,機械製造業,暫不提供,500萬元,暫不提供,15人,暫不提供,http://www.yietay.com.tw,,,
源太興業股份有限公司,化學原料製造業,劉小姐,運動用安全護盔設計製造,06-5959151,1500萬元,06-5959150,50人,臺南市關廟區關新路一段656號,http://www.aegishelmets.com.tw,,,
旭天能源股份有限公司,光電產業,張小姐,太陽能產業,暫不提供,暫不提供,暫不提供,20人,臺南市北區西門路四段271號4樓之1及4樓之2,,,,
南科贊美酒店有限公司,旅館業,陳小姐,觀光飯店,06-5838383,4億2000萬元,暫不提供,120人,臺南市善化區成功路252號,http://www.larchotel.com.tw/,,,
巴久焗烤披薩,餐館業,曾先生,餐館業,06-3027876,暫不提供,暫不提供,暫不提供,臺南市永康區中華路439號,,,,
皇龍建設股份有限公司,建築工程業,黃小姐,建設公司,06-2907308,暫不提供,06-2690847,60人,臺南市東區仁和路56號,http://www.huanglong.com.tw,,,
早安山丘安南安中店_智安晨食館,其他餐飲業,黃先生,其他餐飲業,06-2479005,暫不提供,暫不提供,暫不提供,臺南市安南區安中路三段270、272號,,,,
秘齡美妍企業社,藥品／化妝品及清潔用品批發業,鄭小姐,藥品╱化妝品及清潔用品批發業,06-2023300,暫不提供,暫不提供,暫不提供,臺南市永康區網寮里永興路355巷58弄2號1樓,,,,
台灣物業管理產業協會,建築及工程技術服務業,郭小姐,建築及工程技術服務業,06-2800197,暫不提供,06-2800206,8人,臺南市中西區民權路三段360號,https://www.tpma.com.tw/,,,
展億五金有限公司,其他金屬相關製造業,黃先生,其他金屬相關製造業,06-5552009,暫不提供,06-5551112,暫不提供,臺南市關廟區長裕街285號,,,,
和合資源綠能有限公司,光電產業,吳小姐,太陽能電廠開發/設計/興建/營運/投資效益規劃,06-2679659,1億5000萬元,暫不提供,20人,臺南市東區崇賢三路32號4F3,http://www.hohan-green.com,,,
牛頭牌_喬尼有限公司,鞋類製造業,暫不提供,鞋類製造業/批發業,暫不提供,400萬元,暫不提供,暫不提供,暫不提供,,,,
凱元實業社,其他商品批發業,暫不提供,其他商品批發業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
光立室內設計工作室,室內設計業,暫不提供,室內設計業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
全程興業股份有限公司,不織布業,暫不提供,專利新材料製造,暫不提供,4億9680萬元,暫不提供,250人,暫不提供,,,,
正裕實業股份有限公司,其他相關製造業,王小姐,製造模具(鋁擠型模),06-2700993,2800萬元,06-2704051,32人,臺南市仁德區太乙五街19號,,,,
台灣觸愛協會,社會福利服務業,暫不提供,社會福利服務業,暫不提供,暫不提供,暫不提供,6人,暫不提供,http://www.touchlove.org.tw/,,,
翰林茶館_翰林國際企業股份有限公司,其他餐飲業,人力資源部,餐飲服務業,06-2919758,5000萬元,06-2919726,385人,臺南市南區新孝路191號3樓,http://www.hanlin-tea.com.tw,,,
亦威科技股份有限公司,其他半導體相關業,洪小姐,半導體專業溫控機台(Chiller/Heat,暫不提供,1000萬元,暫不提供,25人,臺南市安南區興安路101號,http://www.eweitech.com/,,,
寶宸稅務記帳士事務所,工商顧問服務業,王小姐,工商顧問服務業,06-3585922,暫不提供,暫不提供,暫不提供,臺南市北區和緯路4段117巷77號,,,,
添聖機械股份有限公司,其他機械製造修配業,暫不提供,機械相關業,暫不提供,1200萬元,暫不提供,30人,暫不提供,http://www.tensheeg.com,,,
浩群實業股份有限公司,水泥及水泥製品製造業,陳小姐,水泥製造業,06-6988501,1000萬元,06-6989351,10人,臺南市六甲區中社里林鳳營231之3號,,,,
弘泰工程有限公司,空調水機電工程業,李小姐,"空調、機電、無塵室、消防規劃,設計,施工,保養之整合性服務",06-5890802,1000萬元,06-5890810,暫不提供,臺南市新市區富林路120號,,,,
臺南市私立德州文理短期補習班善化分班,補習班,景小姐,美語補習班,06-5851254,暫不提供,06-5851254,暫不提供,臺南市善化區中山路270之2之3號1樓,,,,
詠展金屬工業有限公司,機械器具批發業,林小姐,機械器具製造業,暫不提供,暫不提供,暫不提供,暫不提供,臺南市安南區科技一路30號,,,,
嶺瀚文教事業有限公司附設臺南市私立非凡文理短期補習班,補習班,謝小姐,補教業,06-3581811,暫不提供,06-3588240,45人,臺南市北區文賢一路138號,,,,
環成照明企業社,家庭電器／設備及用品零售業,暫不提供,家庭電器╱設備及用品零售業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
嘉南藥理大學_環境產學合作中心,大專校院教育事業,龔小姐,大專校院教育事業,06-2664911,暫不提供,06-2260606,暫不提供,臺南市仁德區二仁路一段60號,,,,
隔壁宵夜樹林店_小獅子美食,餐館業,暫不提供,餐飲業,暫不提供,150萬元,暫不提供,4人,暫不提供,,,,
私立大美美語短期補習班,補習班,陳小姐,學校及文教機構,06-2648787,500萬元,06-2914848,10人,臺南市南區夏林路220號,,,,
臺南市私立喜兒坊幼兒園,學前教育事業,Wendy,ShareFun雙語實驗教育,06-2957000,暫不提供,06-2956316,暫不提供,臺南市安平區健康路三段750號,,,,
湟色酒吧_湟色有限公司,其他餐飲業,暫不提供,其他餐飲業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
臺南市私立初日幼兒園,學前教育事業,暫不提供,學前教育事業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
桓銘科技股份有限公司,其他半導體相關業,潘小姐,半導體信賴度測試系統開發;客製化電源模組開發,06-2999439,1200萬元,06-2992378,暫不提供,臺南市安平區永華路二段248號11樓之7,http://www.design-platform.com.tw,,,
信隆藥品工業股份有限公司,藥品製造業,暫不提供,西藥製造業,暫不提供,1000萬元,暫不提供,25人,暫不提供,http://www.shinlonpharm.com/,,,
美娜中醫診所,診所,杜小姐,診所,06-2808026,1億500萬元,暫不提供,暫不提供,臺南市北區臨安路二段69號,,,,
優加科技有限公司,自動控制相關業,李小姐,製造業,06-2432272,1000萬元,06-2436013,暫不提供,臺南市永康區正北一路136巷7號,,,,
亞成工業材料有限公司,其他相關製造業,許小姐,壓克力製造,06-2662707,暫不提供,06-2662339,暫不提供,臺南市仁德區中正路一段656巷73號,,,,
香港商衞利精控科技有限公司台灣分公司,其他電子零組件相關業,袁先生,其他電子零組件相關業,暫不提供,200萬元,暫不提供,6人,臺南市新市區南部科學園區中山路224號3樓,http://www.winifred-hk.com/list-34.html,,,
龍興冰廠,其他食品製造業,陳小姐,其他食品製造業,06-2036905,暫不提供,暫不提供,暫不提供,臺南市永康區永中街118巷26號,,,,
高品精密股份有限公司,其他金屬相關製造業,陳小姐,金屬模具製造業,06-2794013,6000萬元,暫不提供,120人,臺南市仁德區新田二街1號,,,,
正鉑雷射股份有限公司,光電產業,鄭小姐,雷射加工應用(打標、雕刻、切割、焊接)、大氣電漿清潔改質、客製化專機、自動化系統整合、雲端工廠智慧製造,暫不提供,3800萬元,暫不提供,暫不提供,臺南市新市區南部科學園區創業路8號3樓,https://www.jum-bo.com.tw,,,
釉縻生活有限公司,網際網路相關業,暫不提供,網際網路相關業,暫不提供,500萬元,暫不提供,5人,暫不提供,https://www.yome.in,,,
廣倢生技有限公司,綜合商品批發代理業,鄭小姐,醫療器材零售業,06-2686067,840萬元,暫不提供,14人,臺南市東區大同路二段615號6樓之1,,,,
神乎奇際股份有限公司,網際網路相關業,陳先生,多媒體行銷相關,06-2225748,1000萬元,06-2225749,30人,臺南市北區西門路三段159號11樓之2,https://www.capturemiracle.com/,,,
加堤企業有限公司,綜合商品批發代理業,蔡小姐,出口製造商,暫不提供,2500萬元,暫不提供,50人,臺南市歸仁區大廟里南丁路707巷40號,http://www.eyecareeyewear-tw.com,,,
上漁町居酒屋安平店_愛曼果企業社,餐館業,暫不提供,餐館業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
85度C台南健康店_九裕商行,其他餐飲業,崔先生,餐飲業,06-2230238,暫不提供,06-2230239,暫不提供,臺南市南區健康路2段222號,,,,
雙溪鋼鐵股份有限公司,其他金屬相關製造業,劉先生,金屬相關製造業,06-2535511,暫不提供,06-2540495,23人,臺南市永康區中正南路210巷5號,,,,
偉順電鍍工業股份有限公司,其他金屬相關製造業,徐小姐,金屬表面處理加工業,06-2310747,暫不提供,06-2310628,暫不提供,臺南市永康區經華路18之1號,,,,
大賢藥粧生活館有限公司,百貨相關業,暫不提供,百貨零售相關業,暫不提供,100萬元,暫不提供,6人,暫不提供,https://www.ezgolive99.com/,,,
旭翔鋁業股份有限公司,鋁基本工業,管理部,鋁工業,06-6231797,1億5500萬元,06-6231587,100人,臺南市柳營區柳營科技工業區環園東路一段25號,http://www.xu-xiang.com/,,,
三采壽司館,餐館業,許小姐,餐館業,06-2898827,3萬元,06-2898827,暫不提供,臺南市東區德光里崇德路187號1樓前棟,https://zh-tw.facebook.com/sc.sushi/,,,
彩虹日本料理_彩虹品有限公司,餐館業,暫不提供,餐館業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
Woopen木盆輕食館台南安平_茗棋商行,餐館業,暫不提供,健康食品餐廳,暫不提供,暫不提供,暫不提供,5人,暫不提供,https://www.woopen.com.tw/,,,
臺南市私立思必可外語文理短期補習班,補習班,楊小姐,美語補習班,06-2580212,300萬元,暫不提供,10人,臺南市安南區樂活路95號,https://www.facebook.com/Little-Speaker-American-School-九份子-106785461864961/,,,
長頸鹿美語復興分校_臺南市私立五色鳥美語短期補習班,補習班,曾小姐,補習班,06-2884892,500萬元,暫不提供,暫不提供,臺南市東區自由路三段316號1-3樓,,,,
友上科技股份有限公司,精密儀器相關製造業,方小姐,自動化設備製造業,暫不提供,5億,暫不提供,95人,臺南市新市區南部科學園區南科一路8號,https://www.castec.com.tw/,,,
凱傳工業股份有限公司,塑膠製品製造業,暫不提供,塑膠製品製造業,暫不提供,6000萬元,暫不提供,40人,暫不提供,http://www.kcimaster.com,,,
樂學網科技股份有限公司,其他教育服務業,劉小姐,網際網路相關業,暫不提供,暫不提供,暫不提供,40人,臺南市東區東門路一段354號3樓,https://347.com.tw/,,,
大赫服裝開發有限公司,紡織成衣業,暫不提供,紡織成衣,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
吉仁源有限公司,汽機車及其零配件用品╱批發業,暫不提供,汽機車及其零配件用品╱批發業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
花花世界鍋物有限公司,餐館業,邱小姐,餐館業,06-2081849,暫不提供,暫不提供,50人,臺南市東區莊敬路118號,https://www.facebook.com/wswhotpot/,,,
OK汽車專業美容SPA館_程信企業社,汽車美容業,暫不提供,汽車美容業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,https://zh-tw.facebook.com/okspaAustin/,,,
穆納茶飲復國店_甘來冷飲店,飲料店業,王小姐,飲料店業,06-2040001,暫不提供,暫不提供,暫不提供,臺南市永康區復華里復國一路588號1樓,,,,
滿茶_滿毅企業社,飲料店業,暫不提供,飲料店業,暫不提供,暫不提供,暫不提供,3人,暫不提供,,,,
大恒電線電纜股份有限公司,電腦及其週邊設備製造業,陳先生,電線電纜,06-2793716,2億1500萬元,06-2793479,90人,臺南市仁德區義林路149號,,,,
更新實業股份有限公司,其他非金屬礦物製品製造業,管理部,更新實業為循環經濟產業，經營廢棄物再利用清運處理、控制性低強度回填材料（CLSM）生產製造與垃圾活化作業（破碎、分選、打包與SRF）產製與執行。,06-5705577,5000萬元,暫不提供,60人,臺南市麻豆區麻豆口1之12號,http://www.revival.com.tw/,,,
大源家庭工程行,空調水機電工程業,杜碧鈴,水電,09-09533868,20萬元,暫不提供,暫不提供,臺南市南區明興路1425巷14弄22號,,,,
鑫叡發金屬有限公司,金屬加工用機械製造修配業,暫不提供,金屬加工用機械製造修配業,暫不提供,200萬元,暫不提供,暫不提供,暫不提供,,,,
巽橙企業有限公司,建築及工程技術服務業,黃先生,建築模板工程業,0972-927625,暫不提供,暫不提供,5人,臺南市歸仁區新厝里中正五街19號1樓,,,,
車之輪國際股份有限公司,汽機車及其零配件／用品零售業,蔡先生,汽機車及其零配件／用品零售業,暫不提供,3050萬元,暫不提供,暫不提供,臺南市安平區永華路二段248號22樓之5,http://www.car-no1.com.tw,,,
